vowel sound	vowel spelling	word	IPA	translation	example in English	ejemplo en español
ɪ	*ee	been	bɪn	sido, estado	I have been sick	He estado enfermo
æ	a	bat	kæt	gato	My cat sat on a bat	Mi gato se sentó en un murciélago
æ	a	cat	kæt	gato	My cat sat on a bat	Mi gato se sentó en un murciélago
ɑ	a	car	kɑɹ	carro, coche	I drive my car far	Conduzco mi carro lejos
	a	care	k	cuidado, cuidar, tener cariño	Take care of your car and it will take care of you		Cuida tu coche y él cuidará de ti
ɛ	e	red	ɹɛd	rojo	I wear a red tie	Me llevo una corbata roja
ɛ	e	set	sɛt	poner	I set the table	Puse la mesa
i	ea	beat	bit	batir, vencer, derrotar, ritmo, golpear	I beat the eggs with a fork	Bato los huevos con un tenedor
i	ea	eat	it	comer	I eat beets	Como remolachas
i	ea	feat	fit	logro	Winning a gold medal is a great feat	Ganando el premio oro es un gran logro
i	ea	seat	sit	asiento, silla, sede	Please have a seat	Por favor, tome asiento
i	ee	beet	bit	remolacha	I eat beets	Como remolachas
i	ee	feet	fit	pies	I stand on my feet	Me pongo de pie
i	ee	sheep	ʃip	oveja, ovejas	The shepherd tends his sheep	El pastor cuida a sus ovejas
i	ee	sheet	ʃit	hoja(de papel), sábana	Please hand me that sheet of paper	Por favor, dame aquel hoja de papel
ɪ	i	fit	fɪt	ajustar, adaptar, caber, en forma	My feet fit in my shoes	Mis pies caben en mis zapatos
ɪ	i	fit	fɪt	ajustar, adaptar, caber, en forma	My feet fit in my shoes	Mis pies caben en mis zapatos
ɪ	i	it	ɪt	(alguna cosa)lo, le, la, él, ello, ella, aquél, aquélla	Please give it to me	Por favor, damelo
ɪ	i	ship	ʃɪp	barco, navio	I traveled by ship	Viajé en barco
ɪ	i	sit	sɪt	sentarse	Please sit down	Por favor, sientase
aɪ	i	time	taɪm	tiempo	What time is it?	¿Qué hora es?
aɪ	igh	high	haɪ	alto (de altitud)	Watch the fly fly high	Mira la mosca volar alto
aɪ	y	fly	flaɪ	volar, mosca	Watch the fly fly high	Mira la mosca volar alto
