sound	sound spelling	word	Pronunciation (IPA)	translation	example in English	ejemplo en español
aɪ	I	I	aɪ	yo	I went by the store to buy fish	Pasé por la tienda a comprar pescado
aɪ	i	time	taɪm	tiempo	What time is it?	¿Qué hora es?
aɪ	igh	high	haɪ	alto (de altitud)	Watch the fly fly high	Mira la mosca volar alto
aɪ	y	buy	baɪ	comprar	I'll go by the store to buy fish	Pasaré por la tienda a comprar pescado
aɪ	y	by	baɪ	por, al lado de	I'll go by the store to buy fish	Pasaré por la tienda a comprar pescado
aɪ	y	fly	flaɪ	volar, mosca	Watch the fly fly high	Mira la mosca volar alto
aɪ	ye	bye	baɪ	adiós	I'll go by the store to buy fish	Pasaré por la tienda a comprar pescado
eɪ	a	a	eɪ	un, una	Take your car to a gas station	Lleva tu carro a una gasolinera
eɪ	a	baby	beɪbi	bebé	Our baby is so cute	Nuestra bebe es tan linda
eɪ	a_e	babe	beɪb	nena, chica muy guapa	My wife is a babe	mi esposa es una nena
eɪ	a_e	gate	ɡeɪt	puerta (de una cerca)	I painted the gate in the fence	Pinté la puerta en la cerca
i	ea	beat	bit	batir, vencer, derrotar, ritmo, golpear	I beat the eggs with a fork	Bato los huevos con un tenedor
i	ea	eat	it	comer	I eat beets	Como remolachas
i	ea	feat	fit	logro	Winning a gold medal is a great feat	Ganando el premio oro es un gran logro
i	ea	seat	sit	asiento, silla, sede	Please have a seat	Por favor, tome asiento
i	ee	beet	bit	remolacha	I eat beets	Como remolachas
i	ee	feet	fit	ajustar, adaptar, caber, en forma	My feet fit in my shoes	Mis pies caben en mis zapatos
i	ee	sheep	ʃip	oveja, ovejas	The shepherd tends his sheep	El pastor cuida a sus ovejas
i	ee	sheet	ʃit	hoja(de papel), sábana	Please hand me that sheet of paper	Por favor, dame aquel hoja de papel
i	y	baby	beɪbi	bebé	Our baby is so cute	Nuestra bebe es tan linda
o	o	fork	foɹk	tenedor	I beat the eggs with a fork	Bato los huevos con un tenedor
oʊ	ou	soul	soʊl	alma	Scriptures are food for the soul	
u	o	to	tu	(indica infinitivo)	I would like two sandwiches if it's not too much to ask	Me gustaría dos sándwiches si no es demasiado pedir
u	o	two	tu	dos	I would like two sandwiches if it's not too much to ask	Me gustaría dos sándwiches si no es demasiado pedir
u	oo	food	fud	comida	Scriptures are food for the soul	Las Escrituras son alimento para el alma
u	oo	spoon	spun	cuchara	
u	oo	too	tu	demasiado,tambien	I would like two sandwiches if it's not too much to ask	Me gustaría dos sándwiches si no es demasiado pedir
æ	a	bat	kæt	gato	My cat sat on a bat	Mi gato se sentó en un murciélago
æ	a	cat	kæt	gato	My cat sat on a bat	Mi gato se sentó en un murciélago
ɑ	o	God	ɡɑd	Dios	God is good	Dios es bueno
ɔ	o_e	store	stɔɹ	tienda	I went by the store to buy fish	Pasé por la tienda a comprar pescado
ɛ	e	red	ɹɛd	rojo	I wear a red tie	Me llevo una corbata roja
ɛ	e	set	sɛt	poner	I set the table	Puse la mesa
ɪ	*ee	been	bɪn	sido, estado	I have been sick	He estado enfermo
ɪ	i	fit	fɪt	ajustar, adaptar, caber, en forma	My feet fit in my shoes	Mis pies caben en mis zapatos
ɪ	i	it	ɪt	(alguna cosa)lo, le, la, él, ello, ella, aquél, aquélla	Please give it to me	Por favor, damelo
ɪ	i	ship	ʃɪp	barco, navio	I traveled by ship	Viajé en barco
ɪ	i	sit	sɪt	sentarse	Please sit down	Por favor, sientase
ʊ	oo	foot	fʊt	pie	I stand on one foot	Estoy parado en un pie
ʊ	oo	good	gʊd	bien	God is good	Dios es bueno
